time,event,F0,F1,F2,F3,CatFeat0,CatFeat1,CatFeat2,CatFeat3,CatFeat4,CatFeat5,CatFeat6,CatFeat7
0.9389368957345019,1,0.16705736614892386,0.6694711965647615,0.17787035177683286,0,0,1,0,0,0,0,0,1
0.36567006908793503,1,0.2687017711768601,0.9857205327986696,0.39433064287012876,0,0,0,1,0,0,1,0,0
0.18386689438197618,1,0.6805981232268508,0.7027028964012506,0.18707378275784492,1,0,0,1,0,1,0,0,0
0.7864155401327265,1,0.11597606645228775,0.9102913577113273,0.6340005824141345,1,1,0,0,0,0,0,0,1
0.048061614167266654,1,0.26123773919692705,0.7283138974471414,0.4733055033577481,1,0,0,1,0,0,0,0,1
0.7609541893740225,1,0.4261516528987034,0.7832109340863842,0.9036925163652839,1,0,1,0,1,0,0,0,0
0.027752040046020006,1,0.9797172238537464,0.8908733295337438,0.41844238380798515,0,0,0,1,0,0,0,0,1
0.2860366956370325,1,0.49470212755903353,0.728674110016995,0.0429227334125426,1,0,1,0,1,0,0,0,0
0.3092417943590525,1,0.8325380423133615,0.4543549101193127,0.5151756806921982,1,1,0,0,0,0,0,0,1
0.7439323530299997,1,0.549454918563943,0.6939408132462908,0.20312089597784466,0,0,0,1,0,0,0,1,0
0.0022017425705520752,1,0.3847660847940282,0.9612663724989062,0.5078468905722558,0,0,1,0,0,0,1,0,0
0.33000789155930677,1,0.7314100122539821,0.18429399050900042,0.24329618747781978,1,0,1,0,0,1,0,0,0
1.0209064228629128,1,0.6755503892530418,0.7860579509217033,0.07445950776100285,1,0,1,0,0,0,0,1,0
0.6264107019131187,1,0.9381737664072545,0.4208687839780071,0.5853201113385116,0,0,0,1,0,0,0,1,0
0.8327082171497768,1,0.7581914308090263,0.4388017334321629,0.5399795274117051,0,0,0,1,0,0,1,0,0
0.33386821897702346,1,0.5967546632237244,0.9922357833562444,0.45473073337967207,0,1,0,0,0,0,0,1,0
0.5439430354650139,1,0.3563829940401806,0.2504173746019692,0.0312531005621125,0,1,0,0,0,0,0,1,0
0.41602071000073265,1,0.6938589471315768,0.5015706866158947,0.3410545243516607,1,0,1,0,0,0,0,0,1
0.0751852734301047,1,0.38618772765503495,0.2698669455458206,0.28632447055510846,1,0,0,1,0,0,0,0,1
0.43079945099449113,1,0.494877464873963,0.6462094615647898,0.07696364764408548,0,1,0,0,0,1,0,0,0
0.24646952573470737,1,0.2523142138389477,0.4865400257585477,0.9667128047113502,1,1,0,0,0,0,1,0,0
0.36808459144175204,1,0.3856359345931608,0.3124671887460928,0.5478044238311262,1,0,1,0,0,0,0,1,0
0.37620334102574093,1,0.15702387563905595,0.01641314676866301,0.9868333839366171,0,1,0,0,0,0,0,1,0
1.044072870278273,1,0.40891456915409374,0.4865513540874584,0.5322619306664519,0,0,1,0,0,0,0,1,0
0.27003746481275004,1,0.8075669087737097,0.43275725116048636,0.9559835521936237,1,1,0,0,0,0,0,1,0
1.0404619799824457,1,0.24017913366542298,0.7672771726885982,0.8685070294022268,1,0,1,0,0,1,0,0,0
0.17389175731285242,1,0.7256313090253761,0.403860010634988,0.44165881683742136,0,0,1,0,0,0,0,1,0
0.9651516894762869,1,0.7867824656437542,0.1942427361211685,0.1617340191642881,0,0,1,0,0,0,1,0,0
0.001972038498487166,1,0.8265664380900719,0.5069362919184617,0.9773304169233682,1,1,0,0,1,0,0,0,0
0.492265735918702,1,0.4446311430632094,0.6924950501926803,0.6142949904024159,0,1,0,0,0,0,0,1,0
0.7405041288529852,1,0.37055152540795044,0.71050131656949,0.37199452755511175,0,0,0,1,0,1,0,0,0
0.09669637457821544,1,0.39994299441351444,0.6420464719958726,0.5952426507393356,1,0,1,0,0,1,0,0,0
0.08724047315152579,1,0.6872319573489224,0.41360075060032764,0.17967596700740252,0,0,0,1,0,0,1,0,0
0.4003306136323899,1,0.7861822832827597,0.8875463034372623,0.40746527246221087,0,0,0,1,0,1,0,0,0
